internship_title,skills_required
YouTube Creation,
Content Writing (Academic),
Voice Over Artist - Marati/Gujarathi/Assame With Editing Skills,
Market Research,
Empowering Social Entrepreneurs,
PR & Marketing,digital marketing;excel;social media marketing
Guest Relations Management,
Customer Service Executive,
Content Management,
Script Writing (Non-Fiction),
Copywriting And Reel Creation,
E-commerce Executive,
Strategy And Development,git
Category Management,
Management (Work From Office),
Social Media Community Building,digital marketing;social media marketing
Sales CRM,
Celebrity Onboarding,
Mental Health Helpline Crisis Counseling,
Social Media Sales,digital marketing;social media marketing
Marketing And Sales,digital marketing;excel;social media marketing
Video Editing & Voiceover,
Project Management/Operations Management,
WordPress Development,git
Lead Generation,
Virtual Charity Drive,
Nest Js And Backend Development,docker;git;java;node.js
Teaching,
Subject Matter Expert (Operations Management),
Online Marketing,digital marketing;excel;social media marketing
Strategy,
US IT Recruitment,
Marketing & Growth,digital marketing;excel;social media marketing
History (Subject Matter Expert),
HR (Talent Acquisition),
iOS App Development,git
Social Cause,
Fundraising Volunteering,deep learning;machine learning;nlp;python;tensorflow
Meme Creation,
Infographics - Assame/Gujarathi/Punjabi,
Stock Market Research,
Investor Management - Trainee,deep learning;machine learning;nlp;python;tensorflow
Payroll,
Market Survey Vishakapatnam To Vijayawada,
Party Styling And Content Creation,
Front End Development,git
Teaching (Scratch Coding),
Grant/Investment Pitch Deck Making (VCs & Angels),financial analysis
Digital Marketing (SMM),digital marketing;excel;social media marketing
FundFair Operations,deep learning;machine learning;nlp;python;tensorflow
Link Building,
Content Presenting - Business,
Teaching Arabic,
Creative Operations,graphic design
UPSC Creative Content Curation,graphic design
Coding - Teaching,
Fashion Merchandising,
LinkedIn Marketing And Sales,digital marketing;excel;social media marketing
Fashion Communications,
Subject Matter Expert (SME) Chemistry,
Visual Design,figma;graphic design;ui/ux design
Performance Marketing,digital marketing;excel;social media marketing
Client Success,
Hindi Content Writing,
Fashion Technology/Merchandising (NIFT),
Fashion Merchandising (NIFT),
Fashion Design (NIFT),figma;graphic design;ui/ux design
Social Media Creative Writing,digital marketing;graphic design;social media marketing
Instagram Ad Copywriting,
On-Ground Operations,
Business Development (Sales - Ortho/Medical),git
MIS,
Digital Marketing & Prompt Development,digital marketing;excel;git;social media marketing
Taxation,
Fashion Communication (NIFT),
Operational Support (Generalist),
Social Research,
Supply Chain And Logistics Operations,deep learning;machine learning;nlp;python;tensorflow
Instagram Reels Creation,
Marketing Operations,digital marketing;excel;social media marketing
Telecounseling,
Subject Matter Expert (Physics),
Educational Consulting,
Fashion Cordination,
Bussiness Development,git
Registration Calling,
Reminder Calling,
Subject Matter Expert (Pure Statistics),
Event Details Communication,deep learning;machine learning;nlp;python;tensorflow
Data Reporting,
Video Content Creation,
Business Development (Sales) & Telecalling,git
Patron Engagement Executive,
Content Creation,
Delegate Engagement Specialist,
Revenue Distribution,
Administration,
Formulation And Marketing Of Health Supplement,digital marketing;excel;social media marketing
Sales & Alliances,
Content Creation & Strategy,
Market Automation (Digital Marketing),digital marketing;excel;python;social media marketing
Student Success,
International Business Development,git
Videography,
Subject Matter Expert (General Knowledge For Government Exams),
Digital Media,
Photography,
YouTube Shorts Making,
Study Abroad Operations,
Sales Support,
Videography & Film-making (Video-Editing),
Social Media Operations,digital marketing;social media marketing
Marketing And Operations (E-commerce),digital marketing;excel;social media marketing
Ad Strategy,
Academic Content Expert - Chemistry (English),
Human Resources (Operations),
Project Assistance (Management),
Video Making/Editing And Graphic Designing,figma;graphic design;ui/ux design
Supply Chain Management (SCM),deep learning;machine learning;nlp;python;tensorflow
Trainee - Brand Solutions (TribeVibe),deep learning;machine learning;nlp;python;tensorflow
Photography And Videography,
BPO,
Marketing Management,digital marketing;excel;social media marketing
Academic Content Expert - Statistics (English),
Visualizing/Design,figma;graphic design;ui/ux design
Makeup Academy Coordination And Communication,
Social Media Marketing (Facebook),digital marketing;excel;social media marketing
Growth Associate (Corporate Sales),
International Live Touring,
Advertisement Film Production,
Climate Leader Stewardship,
Visual Merchandising,
Talent Sourcing,
Academic Content Expert - Physics (English),
Creative Media,graphic design
Pharmacy Operations,
Business Development (B2C Channel),git
Sales & Lead Generation,
House Keeping,
Customer Success (Calling),
Tele Calling Sales,
Telemarketing [In Office],digital marketing;excel;social media marketing
Hotel Management (Service),
Content Creation (Shoe Category),
B2B Sales,
Enterprise Account Management (Sales),
Investment Advisory,financial analysis
Customer Service & Social Media Management,digital marketing;social media marketing
Sales Development Representative,git
Academic Counseling,
Graphic Art,
Academic Content Expert - Economics (English),
English Teaching,
Influencer Sales & Outreach,
Educational Video Creation,
Marketing (For Exhibitions),digital marketing;excel;social media marketing
"Design (Fashion/Textile/Sourcing) Internship In Delhi,",figma;graphic design;ui/ux design
Admission Counselling,
"Event Operations, Sports Management, Marketing, Sales, PR",digital marketing;excel;social media marketing
FRONT OFFICE,
Social Innovation,
Community Development,git
CXO Digital Expert Connect Related Work,
Business Development (Sales & Marketing),digital marketing;excel;git;social media marketing
Client Servicing,
Fashion Photography,
Hotel Management (Food & Beverage Production),
Graphic Design & Management,figma;graphic design;ui/ux design
Affiliate Sales Strategy,
Social Media Marketing (Branded Content),digital marketing;excel;social media marketing
Social Media Marketing - Hindi,digital marketing;excel;social media marketing
Client Servicing - Advertising & Events,
AI Art,deep learning;machine learning;nlp;python;tensorflow
Founder In Residence,
Management,
Digital Art Illustration,
Subject Matter Expert (Chemical Engineering),
Administration & Operations,
Business Development (Sports),git
New Market Acquisition Lead,
Comic Book Illustration,
Placement Operations,
Event Operations,
Founders Office,
Teaching (Pre-school),
Graphic Design And Video Marketing,digital marketing;excel;figma;graphic design;social media marketing;ui/ux design
Research And Development,git
Content Development (Metaphysics),git
Account Management,
Fashion Stylist,
Academic Content Writing,
Client Acquisition,
Subject Matter Expert (Chemistry),
Digital Marketing & Pre-Sales,digital marketing;excel;social media marketing
HR Coordination,
Sales & Business Development,git
Mathematics And Statistics,
Social Sciences For Research On SDG/ESG Reporting,
Sports Operation,
Storyboard Artistry For Webtoons,css;git;html
Administration And Operations,
Sketching Art,
E-Commerce Sales,
Executive Assistant,
Metallurgical Engineering,
Organizational Psychology,
Mass Communications,
Accounting & Reporting,accounting;excel;financial analysis
Holiday Expert - Sales & Marketing (Travel & Tourism),digital marketing;excel;social media marketing
IT Management For Project,
Human Resource (HR),
3D Animation,
Growth Execution,
Purchase Operations,
Accounting & Tally,accounting;excel;financial analysis
Academic Content Expert - Accountancy (English),
Finance (Wealth Management),accounting;excel;financial analysis
Accounting,accounting;excel;financial analysis
Human Resource - Recruitment,
Database Building/Management,sql
Equity Research Analysis & Trading,
Data Science (Mentor And Development),git;machine learning;pandas;python
Technical Research Associate,
Investor Relations,
Cold Outreach And Outbound Marketing,digital marketing;excel;social media marketing
Library Front Desk Operations,
Designer (Sportswear & Apparel),figma;graphic design;ui/ux design
Filmmaking,
Educational Research,
Electrical Engineering Teaching,
Sales (Travel Planning),
Podcast Show Hosting,
Management (Male Candidates Preferred),
Animation (Videoscribe),
Voice Over,
Psychology,
Tele-Counseling,
Media & Public Relations (PR),
Radio Jockey,
3D Design,figma;graphic design;ui/ux design
Film Production,
Business Building,
Subject Matter Expert (Economics),
Financial Accounting,accounting;excel;financial analysis
Sales & Marketing,digital marketing;excel;social media marketing
Customer Support Engineering (IT),
Research (Economics),
Hosting/Hostessing,
Content Design And Graphic Design,figma;graphic design;ui/ux design
Remote Business Development,git
Online Business & Portal Development,git
UX/UI Design,figma;graphic design;ui/ux design
Brand Marketing,digital marketing;excel;social media marketing
Sales And Admin Coordination,
Assistance To Director,
Fashion Design Management,figma;graphic design;ui/ux design
Visualization,
Partnership Management,
Graphic Design And UI/UX,figma;graphic design;ui/ux design
Creative Communications,graphic design
Fashion Design - NIFT/ PEARL,figma;graphic design;ui/ux design
Web3 Content Creation,css;git;html
Corporate Relations,
PHP Development,git
"Strategic Communications, Media & Public Relations (PR)",
Social Media Marketing & Digital Marketing,digital marketing;excel;social media marketing
Mobile App Development,git
Fashion Design & Styling,figma;graphic design;ui/ux design
"Content Writing (UFC, Boxing)",
Golang Development,git
Business/Sales Development (Agricultural Products),git
Chemistry Subject Expert,
Subject Matter Expert (Physics And Advanced Physics),
Solar Engineering,
Statistics Subject Expert,
E-Commerce Business Management,
Digital Project (Associate),
2D Animation,
Industrial Decarbonization Research,
Climate Finance Research,accounting;excel;financial analysis
IT Sales,
Research,
Accounts,
Product Design - Mechanical Engineering,figma;graphic design;ui/ux design
Social Media Content Creation,digital marketing;social media marketing
CAD (Computer Aided Design) Engineering,deep learning;figma;graphic design;machine learning;nlp;python;tensorflow;ui/ux design
Printed Circuit Board Design,figma;graphic design;ui/ux design
Embedded Systems,c++
Banking Operations,
Electronics Engineering,
CAD & Product Design,figma;graphic design;ui/ux design
PowerShell Development,git
Energy Efficiency Research,
AWS Terraform &  Kubernetes DevOps,aws;azure;docker;git
Design & Manufacturing,figma;graphic design;ui/ux design
Investor Relation (Women Candidates Only),
Chartered Accountancy (CA) Articleship,
Flutter Development,git
Data Entry - Chennai,deep learning;machine learning;nlp;python;tensorflow
C# .NET Development,git
Creative Editing & Virtual Assistance For Ecommerce Brand,graphic design
Accounts & Finance Management,accounting;excel;financial analysis
Subject Matter Expert (Accounting),accounting;excel;financial analysis
Community Management,
Subject Matter Expert (Mathematics),
Field Visit For Data Collection,
Data Annotation (Non-Tech),
Power Electronics Engineering (Electric Vehicles),
Product Design - Industrial Design (ID),figma;graphic design;ui/ux design
Android Teaching Assistance (Virtual),java
Pre-Sales And Sales Support,
Remote Tele Sales Executive - Real Estate,
Mechanical Design,figma;graphic design;ui/ux design
Sales ( Work from home),
Analytical Chemistry,
Environmental Engineering,
Learning & Development,git
Oscillation And Waves Teaching,
Human Resources (teams),
Subject Matter Expert (SME) Economics,
Teaching (Abacus),
Leads Generation/Inside Sales,
AI Procurement Chatbot Based On Bubble.io And Open AI,deep learning;machine learning;nlp;python;tensorflow
Applied Thermodynamics Teaching,
Mechanics Teaching,
Lead Generation Specialist,
UI/UX Design Developement,figma;graphic design;ui/ux design
Subject Matter Expert (SME) - Economics,
Subject Matter Expert - Physics,
T3 Stack Development,git
"Share Broking, Investment & Personal Finance",accounting;excel;financial analysis
Onboarding Management,
WordPress Web Design And Digital Marketing,css;digital marketing;excel;figma;git;graphic design;html;social media marketing;ui/ux design
Statistics And Probability (Subject Matter Expert),
Tele-sales,
Social Media And Content Marketing,digital marketing;excel;social media marketing
Instructional Design,figma;graphic design;ui/ux design
Sports Content Writing (Tennis),
Recruitment Consultant,
Nursing (Subject Matter Expert),
Full Stack Development,css;git;html;javascript;node.js;react
Hindi Documentation/Hindi Module Making,
Full Stack Development With Experience Of Data Analytics,css;git;html;javascript;node.js;react
"Content Writing For CA, CS, CMA",
Presales Lead Business Analyst,excel;sql
Marketing & Sales,digital marketing;excel;social media marketing
"NextJS, NodeJS & Firebase Development",git;javascript;node.js
Frontend Web Development,css;git;html;javascript;react
Legal Research,
Technical,
Machine Learning,machine learning;python;tensorflow
Marketing Executive,digital marketing;excel;social media marketing
Backend Development,docker;git;java;node.js
Powerbi Analytics,
Social Media/Digital Marketing Marketing,digital marketing;excel;social media marketing
AWS Development - Python,aws;git;pandas;python
Estimation And Costing Engineering (Civil),
Accounting & Bookkeeping,accounting;excel;financial analysis
WhatsApp Marketing,digital marketing;excel;social media marketing
Translator / Transcriber (English To Hindi),
Network Support,
Digital Marketing & Business Development,digital marketing;excel;git;social media marketing
Data & Reporting,
Content Strategist,
Graphic And Social Media Design,digital marketing;figma;graphic design;social media marketing;ui/ux design
College Event Coordination,
Business Development Associate/ Upwork Bidder,git
Video Editing & Digital Ads Creation,
Fashion Design,figma;graphic design;ui/ux design
Sales- Consulting Services,
Backend Development (Node.js),docker;git;java;javascript;node.js
IoT Engineering,
Company Secretary (CS)trainee,deep learning;machine learning;nlp;python;tensorflow
Unity Game Development,c++;git
Fashion Design And Merchandising,figma;graphic design;ui/ux design
Admin Cum Accounts,
Information Technology,
Enterprise Sales Executive (IT Solution Sales),
WhatsApp Campaign Management,deep learning;machine learning;nlp;python;tensorflow
Graphic Design (Canva),figma;graphic design;ui/ux design
Civil Engineering Research,
"Botany, Zoology, And Microbiology Research",
"Agriculture, Horticulture And Rural Development Research",git
Customer Relations,
Economics/Policy Research,
LinkedIn Marketing,digital marketing;excel;social media marketing
Content Writing (Mobile Application),
Branding And Visual Design,figma;graphic design;ui/ux design
Field Research Analytics,
Customer Service And Sales,
Manual Testing,
Company Secretary (CS) Trainee,deep learning;machine learning;nlp;python;tensorflow
Management Consulting,
Operations Analytics,
Cold Calling,
Website Design,css;figma;git;graphic design;html;ui/ux design
Content Writing - Remote,
Blockchain Development,deep learning;git;machine learning;nlp;python;tensorflow
Graphic Design (Logo/Social Media Design),digital marketing;figma;graphic design;social media marketing;ui/ux design
Lead Generation (Whatsapp Group Scrapping),
Investment Analysis,financial analysis
Equity Research,
Inside Sales ETech Prowess,
Video Creation,
Stock Market,
Stock Market Management,
Equity Research And Trading,
Video Presentation,
WebApp Development,css;git;html
Instragram Marketing,digital marketing;excel;social media marketing
Real Estate Sales,
Outbound Sales,
Chemistry Video Solutions (English),
Business Development (Inbound & Outbound Fashion Sales),git
Tech Specialist (Shopify),
Field Work For HairCare Brand,deep learning;machine learning;nlp;python;tensorflow
Reel Making,
Client Relationship Execution,
Test Analysis,
ReactJS And Express.js Development,git;javascript;react
Sales (SaaS),
Full Stack Development - MERN,css;git;html;javascript;node.js;react
Environmental Sciences,
React/Node.js Web/UI Development,css;git;html;javascript;node.js;react
Human Resources (Administration),
Content Writing & Research,
Catalog Management,
Django Development,git
Data Analytics,
"Human Resources, Talent Acquisition & Management",
Vendor Management,
Talent Acquisition (Recruitment),
Digital Marketing & Operations,digital marketing;excel;social media marketing
Founder's Office Operations,
Web Designing,css;figma;git;graphic design;html;ui/ux design
Business Analysis,
Telecalling (Sales),
News Data Entry Operation,
Product Design,figma;graphic design;ui/ux design
Research (Personal Finance),accounting;excel;financial analysis
IoT Development,git
Travel Consulting,
Mobile App Testing,
Market Research Analysis,
Content Execution,
Forensics Accounting & Fraud Investigations,accounting;excel;financial analysis
Brand Management & Content Marketing,digital marketing;excel;social media marketing
Accounting / CA,accounting;excel;financial analysis
Digital Content Creation,
Content Writing & Social Media Management,digital marketing;social media marketing
Auditing,
Project Assistant (Management/Logistics),
Website Development,css;git;html
Artificial Intelligence (AI),deep learning;machine learning;nlp;python;tensorflow
Lead Generation Analysis,
Policy Research (Startup India Program),
Social Media & Content Writing,digital marketing;social media marketing
Digital Marketing & Lead Conversion,digital marketing;excel;social media marketing
Film Direction,
Product Development,git
Marketing & Social Media,digital marketing;excel;social media marketing
College Volunteering,
Biotechnology,
Course Development,git
Network Administration (CCNA),
"Subject Matter Expert (SME)- Maths, Physics & Engineering",
Online IIT-JEE Chemistry Tutoring,
"Product Assembly (Diploma, ITI Graduates)",
Education Sales,
Instagram Reels,
Online CBSE/ICSE Mathematics Tutoring,
Software Development,git
Styling,
Customer Sales & Operations,
Business Support Assistance,
Agriculture & Food Engineering,
Online Tutoring For Recorded Classes,
Commerce And Management Subject Matter Expert,
Statistics Tutoring For Recorded Classes,
Online Tutoring For CUET,
Online Tutoring For Commerce (PG),
Online Tutoring For Statistics,
Online Tutoring For Physics Chemistry And Mathematics,
Policy Research,
Music Creation/Composing,
Blender 3D Animation,
Online Tutoring For Journalism,
Laravel Development,git
Online Tutoring (Economics),
Site Engineering (Civil),
IO Psychology,
Online Tutoring For Social Work,
Subject Matter Expert (Organic Chemistry),
Subject Matter Expert (Anatomy And Physiology),
UPSC Proofreading,
Data Science,machine learning;pandas;python
Management Trainee,deep learning;machine learning;nlp;python;tensorflow
Social Media Content Writing,digital marketing;social media marketing
Operations & Quality Assurance,
Photoshop Editing,
Primary Research,
Media Sales,
Project Executive,
Back-office Operation,
Content Creator,
News Writing,
Graphic Design - Marketing Agency,digital marketing;excel;figma;graphic design;social media marketing;ui/ux design
Mechanical Engineering,
SEO Content,seo
Research Analyst,
UI/UX Figma Design,figma;graphic design;ui/ux design
Product Research,
Android App Figma Development,git;java
Doubt Solving (Physics),
Technical And Fundamental Analysis (Capital Market),
3D Artist,
Sales -Workplace Wellness,
Social Media Marketing (Dating App Start-up),digital marketing;excel;social media marketing
Education Enrichment,
Video Editor & Human Resources,
IT Recruitment,
Library Science,
Business Development / Enterprise Sales,git
Assistant Photographer,
Creative Brand Associate,graphic design
Theatre Assistance - Teaching And Production,
Human Resource,
Research And Documentation,
Mental Health Project Management,
Video Creation & Editing,
Corporate Communication Design,figma;graphic design;ui/ux design
Ecommerce SEO Analyst,seo
Climate Change Learning Design,figma;graphic design;ui/ux design
SEO Trainee,deep learning;machine learning;nlp;python;seo;tensorflow
Environmental Operations Management,
Course Development (Full-Stack Development With Next.js 13),git
Online Bidder Business Development Associate,git
Ecommerce Sales Executive,
"SEO, SEM And WordPress",seo
French Training,deep learning;machine learning;nlp;python;tensorflow
Electrical & Power Electronics,
Content Writing (Psychology),
Business Analytics,
Aerospace Engineering,
Software Development & Testing (QA),git
Account Coordination,
Fashion Consultant,
RPA Development (UiPath Certified Professional),git
Graphic Design (Branding),figma;graphic design;ui/ux design
Audiologist,
Quality Assurance,
Quality Assurance (Content),
Academic Content Quality Assurance,
"Service Engineers, Marketing, On Site Engineers",digital marketing;excel;social media marketing
User Interfaces And Experiences (UIX),
Travel Sales And Operations,
Website And SEO Management,css;git;html;seo
"BIA (Big Data, IoT And Analytics)",
Stock Exchange,
Football Event Management,
D2C Growth & Social Media,digital marketing;social media marketing
Video Editing (After Effects),
Research Analytics,
Business Project Management,
Data Analysis & Research,pandas;sql
Google Pay Integration,
Data Analysis,pandas;sql
Online NEET Biology Tutoring,
Online IIT/JEE Physics Teaching,
Mechanical Design & Product Development,figma;git;graphic design;ui/ux design
Content Writing (Anime And Manga),
Content Writing (College Section),
Interior Design (Office Design),figma;graphic design;ui/ux design
Graphic Design & UI/UX Design,figma;graphic design;ui/ux design
Community Mental Health & Growth Management,
Instagram Reel Content Creation,
Cloud DevOps,aws;azure;docker;git
Django & Django REST Framework Development,git
Course Development (Full-Stack Web Development and Python/Django),css;git;html;javascript;pandas;python;react
Data Collection,
System Engineering,
Embedded Design Engineering,c++;figma;graphic design;ui/ux design
French Teaching,
Customer Data Management,
Play-out Operator,
Creative Assistant Director,graphic design
Digital Marketing (YouTube Management),digital marketing;excel;social media marketing
SEO,seo
Trainee Sales Executive,deep learning;machine learning;nlp;python;tensorflow
Research/Web Design,css;figma;git;graphic design;html;ui/ux design
Marketing & PR,digital marketing;excel;social media marketing
Data Entry/Coding,
"Video Editing (Canva, Adobe Premier Pro, Express)",
Sales & Marketing (Field Sales),digital marketing;excel;social media marketing
Research & Analysis (Mutual Fund),
Business Management,
Marketing & Project Management,digital marketing;excel;social media marketing
Metaverse(Game) Development,git
MIS Management,
Equity Analysis,
Customer Care,
Leather Merchandising,
SEO Content Writing,seo
Personal Assistant To The Founder,
Content Development (Architecture),git
Claims Management,deep learning;machine learning;nlp;python;tensorflow
Software Training,deep learning;git;machine learning;nlp;python;tensorflow
Management Consultant,
Electrical And Electronics Engineering,
AI/Computer Vision/AI Automation Development,deep learning;git;machine learning;nlp;python;tensorflow
Creative Writing,graphic design
Remote Learning Coordination,
Python Development,git;pandas;python
Computer Science Expert,
Social Media Markerting,digital marketing;social media marketing
IT Assessment Development,git
Application Testing,
Medical Writing (Insurance-Medical),
Relationship Trainee,deep learning;machine learning;nlp;python;tensorflow
Python Full Stack Development,css;git;html;javascript;node.js;pandas;python;react
Doubt Solving (Physical Chemistry),
E-commerce (Product Listing),
Video Editing (Canva),
Lead Collection Analysis,
Digital Marketing Executive,digital marketing;excel;social media marketing
Interior And Architecture,
LinkedIn Profile Handling,
Graphic Design And Video Editing,figma;graphic design;ui/ux design
Lead Generation - WhatsApp Group Scrapping,
Technical Project Coordination,
3D Modeler/Texture Artist,
Content & E-Commerce Management,
Video & Graphic Design,figma;graphic design;ui/ux design
Freelance Graphic Design,figma;graphic design;ui/ux design
E Commerce Management,
"Business Development (sales and purchase), Communication And Coordination With Stakeholders",git
Computer Operator,
Zoho Creator Development,git
Audio Making/Editing,
Clothing Design For Christian Charity Clothing Brand,figma;graphic design;ui/ux design
Video Making,
Informative Reel Making,
Editorial,
Fashion Communication,
Key Account Manager,
Insurance Advisory,
React Native Development,git;javascript;react
Edtech Sales,
Computer Technician,
Sales And Marketing Analyst,digital marketing;excel;social media marketing
Sales Growth & Marketing,digital marketing;excel;social media marketing
Media & Journalism,
Subject Matter Expert (Real-Time Doubt Solving),
